Unnamed,Gender,DOB,Maths,physical,Punjabi,English,Sst,Hindi,Computer,Science,Stream
John,M,05-04-1988,55,45,56,87,21,52,89,65,Arts
Suresh,M,04-05-1987,75,55,78,64,90,61,58,52,medical
Ramesh,M,25-05-1989,35,54,89,76,95,87,56,74,medical
Jessica,F,12-08-1990,78,55,86,63,54,89,75,45,medical
Jennifer,F,02-09-1989,58,96,78,46,96,77,83,53,medical
Rohit,M,########,65,78,87,51,81,42,88,76,medical
Rahul,M,########,76,75,56,48,42,51,43,37,nonmedicl
Sushil,M,########,56,81,66,45,73,55,43,33,medical
Ashok,M,########,35,48,74,35,83,57,49,76,medical
priya,F,########,77,65,82,95,72,68,59,70,medical
Anjali,F,########,61,57,78,80,64,41,77,91,nonmedicl
Anuska,F,########,97,36,47,43,34,45,66,46,nonmedicl
Ruchi,F,########,69,85,86,51,53,69,93,51,Arts
Bhawna,F,########,95,39,72,41,53,40,45,93,Commerce
Isha,F,########,76,85,51,53,69,75,81,47,Arts
Chetan,M,########,55,31,56,87,99,93,67,86,Arts
Neeti,F,########,84,58,68,30,41,54,57,84,Commerce
Preeti,F,########,93,92,33,91,39,66,61,75,medical
Chanchal,F,########,33,46,51,63,42,40,39,57,nonmedicl
Gurpreet,F,########,83,91,67,72,78,79,92,38,Commerce
Ravinder,M,########,83,63,61,81,91,61,72,78,medical
Gurmeet,M,########,89,59,64,50,55,47,76,87,nonmedicl
Sharan,M,########,66,89,93,99,76,72,95,98,Arts
Laddi,M,########,61,81,87,96,85,93,75,88,Commerce
Rohan,M,########,73,71,76,79,85,83,67,58,medical
Suresh,M,########,83,76,77,81,55,84,48,82,medical
Siraj,M,########,49,46,73,73,97,79,83,65,Arts
Navdeep,M,########,91,73,83,33,77,94,81,75,medical
Dheeraj,M,########,72,84,79,44,48,66,40,53,nonmedicl
Sunil,M,########,75,71,76,55,75,83,68,92,Commerce
Priyanka,F,########,39,65,77,45,58,69,84,94,medical
Pooja,F,########,76,81,77,74,98,78,87,97,nonmedicl
Anjali,F,########,96,69,85,58,86,68,69,96,nonmedicl
Sweta,F,########,56,85,59,69,77,86,75,91,Arts
Lakshami,F,########,87,77,93,64,58,39,96,76,Commerce
Radha,F,########,65,99,76,88,85,58,78,81,Arts
Riya,F,########,95,88,97,93,59,67,87,67,Arts
Komal,F,########,66,89,93,99,76,85,88,78,Commerce
Kamal,F,########,61,81,87,96,85,61,70,94,medical
Ayush,M,########,83,92,67,72,78,91,55,61,nonmedicl
Aman,M,########,83,89,53,58,55,89,79,65,Commerce
Sajal,M,########,85,76,81,99,76,60,61,87,medical
Muskan,F,########,60,61,66,91,59,90,60,64,nonmedicl
Tanvi,F,########,51,81,68,97,92,84,56,64,Arts
Tarun,M,########,60,97,66,81,89,67,61,83,Commerce
Dilip,M,########,77,97,52,91,61,80,54,70,Arts
Santosh,M,########,65,89,66,78,87,93,72,50,Commerce
Ajay,M,########,78,55,50,97,65,77,70,100,medical
Hitesh,M,########,97,53,56,96,86,72,51,88,medical
Ashok,M,########,91,45,77,41,85,65,55,52,Commerce
Arun,M,########,93,56,33,43,60,99,45,63,medical
Aswin,M,########,95,66,55,45,51,76,56,75,medical
Balu,F,########,81,72,79,47,87,88,87,82,Commerce
John,M,########,71,62,33,56,77,85,41,92,nonmedicl
Praveen,M,########,65,82,95,66,65,58,52,43,Arts
Smith,M,########,58,39,74,68,78,78,96,56,Commerce
Zaheer,M,########,93,89,85,78,76,81,69,69,medical
Viky,M,########,47,42,28,73,61,38,68,74,nonmedicl
Kiran,F,########,64,69,39,82,81,68,89,87,Commerce
Arjun,M,########,71,56,73,85,69,73,97,97,medical
